level_0,address,address_norm,latitude,longitude,district,area,index
63249,"г. Москва, ул. Миклухо-Маклая, д. 44А","г. москва, улица миклухо-маклая, д. 44а",55.637769,37.542258,район Коньково,Юго-Западный административный округ,43443.0
63250,"г. Москва, ул. пр-т Будённого, д. 18А","г. москва, улица пр-т будённого, д. 18а",55.76796,37.729206,район Соколиная Гора,Восточный административный округ,43444.0
63251,"г. Москва, ул. Сретенка, д. 9","г. москва, улица сретенка, д. 9",55.767818,37.631451,Мещанский район,Центральный административный округ,43445.0
63252,"г. Москва, ул. Николоямская, д. 7/8","г. москва, улица николоямская, д. 7/8",55.747976,37.649543,Таганский район,Центральный административный округ,43446.0
63253,"г. Москва, ул. Комсомольский пр-т, д. 17, стр. 11","г. москва, улица комсомольский пр-т, д. 17, стр 11",55.728246,37.586571,район Хамовники,Центральный административный округ,43447.0
63254,"г. Москва, ул. Россолимо, д. 11, стр. 1","г. москва, улица россолимо, д. 11, стр 1",55.734826,37.581092,район Хамовники,Центральный административный округ,43448.0
63255,"г. Москва, ул. пр-т Вернадского, д. 127","г. москва, улица пр-т вернадского, д. 127",55.653167,37.481082,район Тропарёво-Никулино,Западный административный округ,43449.0
63256,"г. Москва, ул. Варшавское ш., д. 158, корп. 1","г. москва, улица варшавское шоссе, д. 158, корпус 1",55.480954,37.445482,Ошибка,Ошибка,43450.0
63257,"г. Москва, ул. Доватора, д. 15/1","г. москва, улица доватора, д. 15/1",55.722284,37.56653,район Хамовники,Центральный административный округ,43451.0
63258,"г. Москва, ул. Большая Полянка, д. 42, стр. 4","г. москва, улица большая полянка, д. 42, стр 4",55.733371,37.618489,район Якиманка,Центральный административный округ,43452.0
63259,"г. Москва, Столярный пер., д. 7, корп. 2","г. москва, столярный переулок, д. 7, корпус 2",55.763265,37.566162,Пресненский район,Центральный административный округ,43453.0
63260,"г. Москва, ул. Старопетровский проезд, д. 7А, стр. 22","г. москва, улица старопетровский проезд, д. 7а, стр 22",55.825699,37.498105,Войковский район,Северный административный округ,43454.0
63261,"г. Москва, Спартаковский пер., д. 2, стр. 11","г. москва, спартаковский переулок, д. 2, стр 11",55.77795,37.670591,Красносельский район,Центральный административный округ,43455.0
63262,"г. Москва, ул. Грина, д. 11","г. москва, улицаг. рина, д. 11",55.567519,37.566961,район Северное Бутово,Юго-Западный административный округ,43456.0
63263,"г. Москва, ул. Намёткина, 17/68Б","г. москва, улица намёткина, 17/68б",55.661552,37.558113,район Черёмушки,Юго-Западный административный округ,43457.0
63264,"г. Москва, ул. Крутицкий Вал, д. 26, стр. 2","г. москва, улица крутицкий вал, д. 26, стр 2",55.7289,37.663404,Южнопортовый район,Юго-Восточный административный округ,43458.0
63265,"г. Москва, ул. Никольская, д. 10, ЖК Западное Кунцево","г. москва, улица никольская, д. 10, жк западное кунцево",55.727394,37.336822,,,43459.0
63266,"г. Москва, 2-й Тверской-Ямской пер., д. 10","г. москва, 2-й тверской-ямской переулок, д. 10",55.773469,37.594378,Тверской район,Центральный административный округ,43460.0
63267,"г. Москва, ул. Болотниковская, д. 3, корп. 1","г. москва, улица болотниковская, д. 3, корпус 1",55.655884,37.615434,Нагорный район,Южный административный округ,43461.0
63268,"г. Москва, ул. Комсомольский пр-т, д. 28","г. москва, улица комсомольский пр-т, д. 28",55.726882,37.579654,район Хамовники,Центральный административный округ,43462.0
63269,"г. Москва, Большой Кондратьевский пер., д. 7","г. москва, большой кондратьевский переулок, д. 7",55.773702,37.58049,Пресненский район,Центральный административный округ,43463.0
63270,"г. Москва, Наставнический пер., 13-15 стр.1","г. москва, наставнический переулок, 13-15 стр1",55.749831,37.665165,Таганский район,Центральный административный округ,43464.0
63271,"г. Москва, ул. Лесная, д. 57, стр. 1","г. москва, улица лесная, д. 57, стр 1",55.781823,37.593201,Тверской район,Центральный административный округ,43465.0
63272,"г. Москва, ул. Арбат, д. 25/36","г. москва, улица арбат, д. 25/36",55.750241,37.594764,район Арбат,Центральный административный округ,43466.0
63273,"г. Москва, ул. Кутузовский пр-т, д. 5/3","г. москва, улица кутузовский пр-т, д. 5/3",55.749851,37.56706,район Дорогомилово,Западный административный округ,43467.0
63274,"г. Москва, ул. Серпуховский Вал, д. 21 корп. 4","г. москва, улица серпуховский вал, д. 21 корпус 4",55.710697,37.607448,,,43468.0
63275,"г. Москва, Леонтьевский пер., д. 1","г. москва, леонтьевский переулок, д. 1",55.758139,37.600334,Пресненский район,Центральный административный округ,43469.0
63276,"г. Москва, ул. Большой б-р, д. 46, стр. 1","г. москва, улица большой б-р, д. 46, стр 1",55.755819,37.617644,Тверской район,Центральный административный округ,43470.0
63277,"г. Москва, ул. Ленинградский проспект, 37, стр.12","г. москва, улица ленинградский пр-т, 37, стр12",55.79428,37.543533,Хорошёвский район,Северный административный округ,43471.0
63278,"г. Москва, ул. Суздальская, д .10, корп. 2","г. москва, улица суздальская, д .10, корпус 2",55.736888,37.847936,район Новокосино,Восточный административный округ,43472.0
63279,"г. Москва, ул. Академика Анохина, д. 8, к.орп, 1","г. москва, улица академика анохина, д. 8, корпусорп, 1",55.666736,37.473096,район Тропарёво-Никулино,Западный административный округ,43473.0
63280,"г. Москва, ул. Комсомольский пр-т, д. 24, стр. 1","г. москва, улица комсомольский пр-т, д. 24, стр 1",55.728256,37.58031,район Хамовники,Центральный административный округ,43474.0
63281,"г. Москва, ул. Авиамоторная, д. 41Б","г. москва, улица авиамоторная, д. 41б",55.753458,37.716522,район Лефортово,Юго-Восточный административный округ,43475.0
63282,"г. Москва, ул. Щепкина, д. 35","г. москва, улица щепкина, д. 35",55.78039,37.628747,Мещанский район,Центральный административный округ,43476.0
63283,"г. Москва, ул. 3-й проезд Марьиной Рощи, 41","г. москва, улица 3-й проезд марьиной рощи, 41",55.795864,37.611078,район Марьина Роща,Северо-Восточный административный округ,43477.0
63284,"г. Москва, ул. Фестивальная, д. 4","г. москва, улица фестивальная, д. 4",55.856588,37.485268,район Левобережный,Северный административный округ,43478.0
63285,"г. Москва, ул. Яна Райниса, д. 4 к.1","г. москва, улица яна райниса, д. 4 корпус1",55.755819,37.617644,Тверской район,Центральный административный округ,43479.0
63286,"г. Москва, ул. Часовая, д. 20","г. москва, улица часовая, д. 20",55.811143,37.528918,район Аэропорт,Северный административный округ,43480.0
63287,"г. Москва, 1-й Щипковский пер., д. 4","г. москва, 1-й щипковский переулок, д. 4",55.722005,37.632916,Даниловский район,Южный административный округ,43481.0
63288,"г. Москва, ул. Большая Молчановка, д. 32, стр. 1","г. москва, улица большая молчановка, д. 32, стр 1",55.753524,37.588431,район Арбат,Центральный административный округ,43482.0
63289,"г. Москва, ул. Бориса Жигулёнкова, 7","г. москва, улица бориса жигулёнкова, 7",55.775672,37.732925,район Соколиная Гора,Восточный административный округ,43483.0
63290,"г. Москва, ул. Ярославская, 4, корп. 2","г. москва, улица ярославская, 4, корпус 2",55.814639,37.64763,Алексеевский район,Северо-Восточный административный округ,43484.0
63291,"г. Москва, ул. Кожевническая, д. 10, стр. 1","г. москва, улица кожевническая, д. 10, стр 1",55.729245,37.645411,район Замоскворечье,Центральный административный округ,43485.0
63292,"г. Москва, ул. Университетский пр-т, д. 4","г. москва, улица университетский пр-т, д. 4",55.697072,37.55381,Гагаринский район,Юго-Западный административный округ,43486.0
