session_key,meeting_key,driver_number,position,number_of_laps,dnf,dns,dsq,gap_to_leader,points,best_time
7953,1141,1,1.0,57.0,False,False,False,0,25.0,5636.736
7953,1141,11,2.0,57.0,False,False,False,11.987,18.0,5648.723
7953,1141,14,3.0,57.0,False,False,False,38.637,15.0,5675.373
7953,1141,55,4.0,57.0,False,False,False,48.052,12.0,5684.788
7953,1141,44,5.0,57.0,False,False,False,50.977,10.0,5687.713
7953,1141,18,6.0,57.0,False,False,False,54.502,8.0,5691.238
7953,1141,63,7.0,57.0,False,False,False,55.873,6.0,5692.609
7953,1141,77,8.0,57.0,False,False,False,72.647,4.0,5709.383
7953,1141,10,9.0,57.0,False,False,False,73.753,2.0,5710.489
7953,1141,23,10.0,57.0,False,False,False,89.774,1.0,5726.51
7953,1141,22,11.0,57.0,False,False,False,90.87,0.0,5727.606
7953,1141,2,12.0,56.0,False,False,False,+1 LAP,0.0,
7953,1141,20,13.0,56.0,False,False,False,+1 LAP,0.0,
7953,1141,21,14.0,56.0,False,False,False,+1 LAP,0.0,
7953,1141,27,15.0,56.0,False,False,False,+1 LAP,0.0,
7953,1141,24,16.0,56.0,False,False,False,+1 LAP,0.0,
7953,1141,4,17.0,55.0,False,False,False,+2 LAPS,0.0,
7953,1141,31,,41.0,True,False,False,,0.0,
7953,1141,16,,39.0,True,False,False,,0.0,
7953,1141,81,,13.0,True,False,False,,0.0,
7779,1142,11,1.0,50.0,False,False,False,0,25.0,4874.894
7779,1142,1,2.0,50.0,False,False,False,5.355,0.0,4880.249
7779,1142,14,3.0,50.0,False,False,False,20.728,15.0,4895.622
7779,1142,63,4.0,50.0,False,False,False,25.866,12.0,4900.76
7779,1142,44,5.0,50.0,False,False,False,31.065,10.0,4905.959
7779,1142,55,6.0,50.0,False,False,False,35.876,8.0,4910.77
7779,1142,16,7.0,50.0,False,False,False,43.162,6.0,4918.056
7779,1142,31,8.0,50.0,False,False,False,52.832,4.0,4927.726
7779,1142,10,9.0,50.0,False,False,False,54.747,2.0,4929.641
7779,1142,20,10.0,50.0,False,False,False,64.826,1.0,4939.72
7779,1142,22,11.0,50.0,False,False,False,67.494,0.0,4942.388
7779,1142,27,12.0,50.0,False,False,False,70.588,0.0,4945.482
7779,1142,24,13.0,50.0,False,False,False,76.06,0.0,4950.954
7779,1142,21,14.0,50.0,False,False,False,77.478,0.0,4952.372
7779,1142,81,15.0,50.0,False,False,False,85.021,0.0,4959.915
7779,1142,2,16.0,50.0,False,False,False,86.293,0.0,4961.187
7779,1142,4,17.0,50.0,False,False,False,86.445,0.0,4961.339
7779,1142,77,18.0,49.0,False,False,False,+1 LAP,0.0,
7779,1142,23,,27.0,True,False,False,,0.0,
7779,1142,18,,16.0,True,False,False,,0.0,
7787,1143,1,1.0,58.0,False,False,False,0.0,25.0,9158.371
7787,1143,44,2.0,58.0,False,False,False,0.179,18.0,9158.55
7787,1143,14,3.0,58.0,False,False,False,0.769,15.0,9159.14
7787,1143,18,4.0,58.0,False,False,False,3.082,12.0,9161.453
7787,1143,11,5.0,58.0,False,False,False,3.32,11.0,9161.691
7787,1143,4,6.0,58.0,False,False,False,3.701,8.0,9162.072
7787,1143,27,7.0,58.0,False,False,False,4.939,6.0,9163.31
7787,1143,81,8.0,58.0,False,False,False,5.382,4.0,9163.753
7787,1143,24,9.0,58.0,False,False,False,5.713,2.0,9164.084
7787,1143,22,10.0,58.0,False,False,False,6.052,1.0,9164.423
7787,1143,77,11.0,58.0,False,False,False,6.513,0.0,9164.884
7787,1143,55,12.0,58.0,False,False,False,6.594,0.0,9164.965
7787,1143,10,13.0,56.0,True,False,False,,0.0,
7787,1143,31,14.0,56.0,True,False,False,,0.0,
7787,1143,21,15.0,56.0,True,False,False,,0.0,
7787,1143,2,16.0,56.0,True,False,False,,0.0,
7787,1143,20,17.0,52.0,True,False,False,,0.0,
7787,1143,63,,17.0,True,False,False,,0.0,
7787,1143,23,,6.0,True,False,False,,0.0,
7787,1143,16,,0.0,True,False,False,,0.0,
9070,1207,11,1.0,51.0,False,False,False,0,25.0,5562.436
9070,1207,1,2.0,51.0,False,False,False,2.137,18.0,5564.573
9070,1207,16,3.0,51.0,False,False,False,21.217,15.0,5583.653
9070,1207,14,4.0,51.0,False,False,False,22.024,12.0,5584.46
9070,1207,55,5.0,51.0,False,False,False,45.491,10.0,5607.927
9070,1207,44,6.0,51.0,False,False,False,46.145,8.0,5608.581
9070,1207,18,7.0,51.0,False,False,False,51.617,6.0,5614.053
9070,1207,63,8.0,51.0,False,False,False,74.24,5.0,5636.676
9070,1207,4,9.0,51.0,False,False,False,80.376,2.0,5642.812
9070,1207,22,10.0,51.0,False,False,False,83.862,1.0,5646.298
9070,1207,81,11.0,51.0,False,False,False,86.501,0.0,5648.937
9070,1207,23,12.0,51.0,False,False,False,88.623,0.0,5651.059
9070,1207,20,13.0,51.0,False,False,False,89.729,0.0,5652.165
9070,1207,10,14.0,51.0,False,False,False,91.332,0.0,5653.768
9070,1207,31,15.0,51.0,False,False,False,97.794,0.0,5660.23
9070,1207,2,16.0,51.0,False,False,False,100.943,0.0,5663.379
9070,1207,27,17.0,50.0,False,False,False,+1 LAP,0.0,
9070,1207,77,18.0,50.0,False,False,False,+1 LAP,0.0,
9070,1207,24,,36.0,True,False,False,,0.0,
9070,1207,21,,9.0,True,False,False,,0.0,
9078,1208,1,1.0,57.0,False,False,False,0,26.0,5258.241
9078,1208,11,2.0,57.0,False,False,False,5.384,18.0,5263.625
9078,1208,14,3.0,57.0,False,False,False,26.305,15.0,5284.546
9078,1208,63,4.0,57.0,False,False,False,33.229,12.0,5291.47
9078,1208,55,5.0,57.0,False,False,False,42.511,10.0,5300.752
9078,1208,44,6.0,57.0,False,False,False,51.249,8.0,5309.49
