session_key,air_temp_mean,track_temp_mean,humidity_mean,wind_speed_mean,rainfall_max
7953,27.43167701863354,31.01180124223602,21.496894409937887,0.6832298136645961,0
7779,26.09189189189189,31.79256756756757,57.79054054054054,1.772297297297297,0
7787,17.449549549549552,30.13963963963964,54.15765765765766,1.1270270270270266,0
9070,24.860625,41.209999999999994,49.225,1.083125,0
9078,27.11741935483871,36.689032258064515,59.42580645161291,3.970322580645162,0
9094,25.06590909090909,39.25568181818182,45.86363636363637,1.0056818181818181,1
9102,22.674025974025977,33.838961038961045,63.077922077922075,1.8694805194805193,0
9110,18.530246913580246,30.593209876543206,63.901234567901234,1.941975308641975,0
9118,22.398039215686275,32.05424836601307,52.04575163398693,1.0973856209150326,1
9126,21.473509933774835,30.94105960264901,56.18543046357616,3.023841059602649,0
9133,28.808536585365857,48.579268292682926,32.80487804878049,1.4408536585365852,0
9141,17.873333333333335,28.24066666666667,61.92666666666667,1.5946666666666667,1
9149,16.791866028708135,24.94114832535885,70.77511961722487,2.8215311004784693,1
9157,29.330128205128204,42.928205128205136,42.32051282051282,1.13974358974359,0
9165,29.844318181818185,36.42215909090909,72.0284090909091,1.4159090909090908,0
9173,27.28860759493671,42.070253164556966,42.31645569620253,1.8297468354430382,0
9221,31.46289308176101,36.93207547169812,73.15723270440252,0.889937106918239,0
9213,29.96011904761904,40.62857142857143,41.910714285714285,3.314285714285714,0
9181,25.547368421052628,45.63947368421053,23.55263157894737,1.4900000000000002,0
9205,20.460109289617485,46.775956284153004,58.17486338797814,1.3092896174863389,1
9189,18.05,17.99444444444444,47.361111111111114,2.3009259259259256,0
9197,26.962820512820517,33.46089743589744,51.0,1.794871794871795,0
9472,18.22738853503185,23.652866242038222,48.82165605095541,0.7859872611464969,0
9480,25.528082191780825,31.59315068493151,62.33561643835616,1.3027397260273974,0
9488,20.62222222222222,38.40208333333333,44.451388888888886,0.9534722222222223,0
9496,21.691160220994476,37.50110497237569,43.430939226519335,2.2408839779005527,0
9673,18.63939393939394,29.792727272727273,66.06060606060606,1.68,0
9507,28.521999999999995,44.664,59.00666666666667,3.080666666666666,0
9515,25.113986013986015,42.023776223776224,48.42657342657343,2.141258741258741,0
9523,21.596499999999995,46.318000000000005,63.99,0.9795,0
9531,17.797345132743363,24.569911504424784,73.38053097345133,1.169911504424779,1
9539,24.132467532467533,41.096103896103905,63.44155844155844,2.1233766233766236,1
9550,29.42587412587413,46.420979020979026,35.00699300699301,1.667832167832168,1
9558,15.77074829931973,27.670068027210885,67.33333333333333,1.3482993197278912,1
9566,28.82387096774194,44.91612903225806,46.92258064516129,1.2496774193548386,0
9574,21.32846715328467,42.26715328467153,49.583941605839414,1.6832116788321165,0
9582,19.00588235294118,30.80588235294118,60.96078431372549,4.568627450980392,0
9590,33.1015037593985,49.31127819548872,32.285714285714285,1.518796992481203,0
9598,26.70592105263158,44.34934210526316,38.01973684210526,1.5513157894736842,0
9606,30.786250000000003,36.445625,74.65,0.9550000000000001,0
9617,28.12129032258064,46.60193548387097,35.535483870967745,1.5,0
9625,19.88867924528302,35.60251572327045,51.0503144654088,2.150943396226415,0
9636,21.662686567164172,25.769651741293536,85.2587064676617,0.735820895522388,1
9644,17.825174825174823,17.723776223776223,47.86013986013986,2.8986013986013983,0
9655,18.926490066225167,22.773509933774836,57.25165562913907,1.6576158940397352,0
9662,26.76824324324324,31.805405405405406,51.445945945945944,1.9006756756756753,0
9693,15.707865168539326,18.942134831460674,78.42134831460675,3.475280898876404,1
9998,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0
10006,14.429999999999998,20.514285714285716,76.37142857142857,1.202142857142857,0
10014,27.052531645569626,31.870253164556964,45.32911392405063,2.1056962025316457,0
10022,29.483802816901402,37.819718309859155,62.725352112676056,1.0260563380281689,0
10033,26.573154362416112,38.69060402684564,63.02013422818792,1.0469798657718121,1
9987,23.964666666666666,42.664,38.306666666666665,3.2479999999999998,0
9979,22.209375,43.317499999999995,52.51875,0.9793749999999999,0
9971,29.12,48.54322580645161,54.6258064516129,1.6329032258064518,0
9963,24.036526946107788,49.25329341317366,27.976047904191617,1.0377245508982034,1
9955,30.347826086956523,49.166459627329196,31.981366459627328,1.6180124223602483,0
9947,17.91741935483871,23.578709677419354,78.3741935483871,1.4832258064516128,1
9939,17.030044843049332,24.09013452914799,84.4439461883408,1.446188340807175,1
9928,22.05,32.04191176470589,57.0514705882353,2.0875,0
9920,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0
9912,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0
9904,20.551923076923078,26.107051282051284,59.833333333333336,1.5070512820512822,0
9896,29.072049689440995,33.85217391304348,74.36024844720497,1.1111801242236024,1
9888,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0
9877,26.405555555555555,50.58827160493828,23.234567901234566,1.847530864197531,0
9869,17.348026315789475,30.69276315789474,70.57236842105263,1.5098684210526316,0
9858,16.73404255319149,19.52978723404255,37.765957446808514,1.4368794326241134,0
9850,22.5993288590604,28.160402684563756,69.04697986577182,1.2510067114093961,0
9839,26.67402597402597,31.06168831168831,60.44155844155844,1.5733766233766235,0
