,doctor_link,price,experience,rating,review_count,clinics_count,dist_center,spec,is_kids,is_adults,doctor_source,district,price_log
29100,https://docdoc.ru/doctor/Savchenkova-Belyatko_Elena,3350.0,17.0,3.863766642399925,5.0,1.0,3.957182045276343,терапевт,False,True,Обе платформы,,8.11701408773731
29102,https://docdoc.ru/doctor/Savchuk_Veronika,4450.0,5.0,3.487783355548823,3.0,2.0,3.8522029347350415,терапевт,False,True,Обе платформы,Южнопортовый район,8.400884069015854
29120,https://docdoc.ru/doctor/Sagradyan_Zara,2500.0,24.0,3.807814371178361,13.0,1.0,11.19072714553125,эндокринолог,False,True,Обе платформы,,7.824445930877619
29129,https://docdoc.ru/doctor/Sadov_Evgeniy,7000.0,22.0,3.95,0.0,2.0,3.5622268663397545,детский невролог,True,False,Обе платформы,,8.853808274977197
29137,https://docdoc.ru/doctor/Sadovskaya_Viktoriya,2700.0,10.0,3.496264302797233,5.0,4.0,9.397862240918464,эндокринолог,False,True,Обе платформы,район Раменки,7.901377353792616
29145,https://prodoctorov.ru/moskva/vrach/1280886-sadohina/,2300.0,,4.166666666666667,4.0,1.0,9.204444803088935,акушер,False,True,ProDoctorov,,7.741099090035366
29146,https://docdoc.ru/doctor/Sadraddinov_Fuad,3800.0,7.0,4.896086736673231,65.0,6.0,16.71152945175637,функциональный диагност,False,True,Обе платформы,район Выхино-Жулебино,8.24301946898925
29166,https://docdoc.ru/doctor/Sadykov_Rustam,3500.0,48.0,3.3815089013903967,52.0,4.0,16.481018313637517,эндокринолог,False,True,Обе платформы,район Зябликово,8.160803920954665
29172,https://docdoc.ru/doctor/Sadykova_Liana_2,3450.0,10.0,3.774999999999999,0.0,2.0,13.405066729656815,онколог,False,True,Обе платформы,Головинский район,8.146419323098003
29177,https://docdoc.ru/doctor/Sadykova_Fazilat_2,1500.0,18.0,4.96541096115348,28.0,1.0,5.513920181905953,акушер,False,True,Обе платформы,,7.313886831633462
29179,https://docdoc.ru/doctor/Sadyhova_Leyla,2950.0,16.0,3.25,0.0,2.0,0.290742422032002,эндокринолог,False,True,Обе платформы,Тверской район,7.989899374942939
29185,https://docdoc.ru/doctor/Sazhenin_Aleksandr,2900.0,46.0,2.803453860132275,42.0,3.0,13.340277953382529,онколог-маммолог,False,True,Обе платформы,район Кунцево,7.972810784121404
29189,https://prodoctorov.ru/moskva/vrach/954729-sazhina/,2000.0,,3.82,5.0,1.0,21.13901684360756,невролог,False,True,ProDoctorov,,7.601402334583733
29202,https://docdoc.ru/doctor/Sazonova_Elena_1,3465.0,16.0,4.8957567493233745,93.0,2.0,13.605949215901106,эндокринолог,False,True,Обе платформы,район Кунцево,8.150756470275551
29205,https://docdoc.ru/doctor/Sazonova_Irina_13,4000.0,13.0,4.475,2.0,2.0,3.9767384344047487,реабилитолог,True,True,Обе платформы,Басманный район,8.294299608857235
29208,https://docdoc.ru/doctor/Sazonova_Marina,4300.0,39.0,3.5429705536481015,5.0,1.0,11.311575974459231,невролог,False,True,Обе платформы,район Проспект Вернадского,8.366602832783736
29232,https://docdoc.ru/doctor/Saidova_Elvira,5300.0,36.0,2.7268257818486075,15.0,3.0,2.771220180737925,гинеколог,False,True,Обе платформы,Басманный район,8.575650760987806
29233,https://docdoc.ru/doctor/Saidhodzhaeva_Nigina,8190.0,5.0,3.858652217543275,11.0,2.0,11.934891208189807,невролог,False,True,Обе платформы,район Проспект Вернадского,9.010791269515602
29234,https://docdoc.ru/doctor/Saitova_Elmira,2500.0,12.0,4.88689473673756,94.0,3.0,8.759137851348367,гинеколог,False,True,Обе платформы,район Раменки,7.824445930877619
29235,https://prodoctorov.ru/moskva/vrach/365649-say/,1500.0,,4.333333333333334,6.0,4.0,22.625816237880578,онколог,False,True,ProDoctorov,,7.313886831633462
29248,https://docdoc.ru/doctor/Saypulaeva_Bella_2,5800.0,15.0,4.4750000000000005,1.0,2.0,2.9681963939097997,терапевт,False,True,Обе платформы,район Хамовники,8.665785595466064
29268,https://docdoc.ru/doctor/Sakieva_Marina,3175.0,21.0,4.737499999999999,2.0,2.0,1.989727959273741,эндокринолог,False,True,Обе платформы,Мещанский район,8.063377822367027
